id,admin_graphql_api_id,app_id,browser_ip,buyer_accepts_marketing,cancel_reason,cancelled_at,cart_token,checkout_id,checkout_token,client_details,closed_at,company,confirmation_number,confirmed,contact_email,created_at,currency,current_subtotal_price,current_subtotal_price_set,current_total_additional_fees_set,current_total_discounts,current_total_discounts_set,current_total_duties_set,current_total_price,current_total_price_set,current_total_tax,current_total_tax_set,customer_locale,device_id,discount_codes,email,estimated_taxes,financial_status,fulfillment_status,landing_site,landing_site_ref,location_id,merchant_of_record_app_id,name,note,note_attributes,number,order_number,order_status_url,original_total_additional_fees_set,original_total_duties_set,payment_gateway_names,phone,po_number,presentment_currency,processed_at,reference,referring_site,source_identifier,source_name,source_url,subtotal_price,subtotal_price_set,tags,tax_exempt,tax_lines,taxes_included,test,token,total_discounts,total_discounts_set,total_line_items_price,total_line_items_price_set,total_outstanding,total_price,total_price_set,total_shipping_price_set,total_tax,total_tax_set,total_tip_received,total_weight,updated_at,user_id,billing_address,customer,discount_applications,fulfillments,line_items,payment_terms,refunds,shipping_address,shipping_lines
6436277911893,gid://shopify/Order/6436277911893,1354745,185.205.175.206,False,,,,46221749322069.0,f181858604632163e2befa248007998b,client_details(None),,,9D2VCQNRI,True,russel.winfield@example.com,2024-12-17T18:09:59-05:00,GBP,3329.90,current_subtotal_price_set(None),,0.00,current_total_discounts_set(None),,3377.88,current_total_price_set(None),0.00,current_total_tax_set(None),UK,,[],russel.winfield@example.com,False,paid,,,,,,#1001,,[],1,1001,https://impression-digital-test-store.myshopify.com/92179693909/orders/098dd9124e886221fdbd8f22944bf28b/authenticate?key=5a030d6d7b31b9338c363e1b4afcaba7,,,['manual'],+16135550135,,GBP,2024-12-17T18:09:59-05:00,7830d56d08d6c0886c1aaf1a3a8f44d5,,7830d56d08d6c0886c1aaf1a3a8f44d5,shopify_draft_order,,3329.90,subtotal_price_set(None),Multiple Fulfillments,False,[],True,False,098dd9124e886221fdbd8f22944bf28b,0.00,total_discounts_set(None),3329.90,total_line_items_price_set(None),0.00,3377.88,total_price_set(None),total_shipping_price_set(None),0.00,total_tax_set(None),0.00,4536,2024-12-17T18:10:00-05:00,,billing_address(None),customer(8875746394453),[],[],"[line_item(16344777720149), line_item(16344777752917)]",,[],shipping_address(None),[shipping_line(5402361200981)]
6436278403413,gid://shopify/Order/6436278403413,1354745,185.205.175.206,False,,,,46221751222613.0,749d5f582f316551159597e1316099c7,client_details(None),,company(58736345429),8QAPKGDTW,True,karine.ruby@example.com,2024-12-17T18:10:24-05:00,GBP,699.95,current_subtotal_price_set(None),,0.00,current_total_discounts_set(None),,723.94,current_total_price_set(None),0.00,current_total_tax_set(None),en,,[],karine.ruby@example.com,False,paid,,,,,,#1002,,[],2,1002,https://impression-digital-test-store.myshopify.com/92179693909/orders/6d40bd3634b0c6568f79b17f732548e2/authenticate?key=72baf7486fa7b988778a42a0c48e1dcb,,,['manual'],+16135550142,,GBP,2024-12-17T18:10:24-05:00,fbd71acf2fde3c8db4d6e2d99a55aa3b,,fbd71acf2fde3c8db4d6e2d99a55aa3b,shopify_draft_order,,699.95,subtotal_price_set(None),Custom Shipping Rate,False,[],True,False,6d40bd3634b0c6568f79b17f732548e2,0.00,total_discounts_set(None),699.95,total_line_items_price_set(None),0.00,723.94,total_price_set(None),total_shipping_price_set(None),0.00,total_tax_set(None),0.00,4536,2024-12-17T18:10:25-05:00,,,customer(8875746328917),[],[],[line_item(16344778441045)],,[],shipping_address(None),[shipping_line(5402361561429)]
6436278829397,gid://shopify/Order/6436278829397,1354745,185.205.175.206,False,,,,46221753844053.0,64dc4f3dff8c6f54806c1c316e3ec7d2,client_details(None),,company(58736345429),NR96KTD2Q,True,karine.ruby@example.com,2024-12-17T18:10:48-05:00,GBP,729.95,current_subtotal_price_set(None),,0.00,current_total_discounts_set(None),,753.94,current_total_price_set(None),0.00,current_total_tax_set(None),en,,[],karine.ruby@example.com,False,paid,,,,,,#1003,,[],3,1003,https://impression-digital-test-store.myshopify.com/92179693909/orders/88fc46f2ae350398fd51d302d05e4e31/authenticate?key=300914d1651e1579426b16bcec5e6422,,,['manual'],+16135550142,,GBP,2024-12-17T18:10:48-05:00,e688e4a8dbe2c620460649e3fee0a5f1,,e688e4a8dbe2c620460649e3fee0a5f1,shopify_draft_order,,729.95,subtotal_price_set(None),Shipping Discount,False,[],True,False,88fc46f2ae350398fd51d302d05e4e31,0.00,total_discounts_set(None),729.95,total_line_items_price_set(None),0.00,753.94,total_price_set(None),total_shipping_price_set(None),0.00,total_tax_set(None),0.00,0,2024-12-17T18:10:49-05:00,,,customer(8875746328917),[],[],[line_item(16344779260245)],,[],shipping_address(None),[shipping_line(5402361921877)]
6436278894933,gid://shopify/Order/6436278894933,1354745,185.205.175.206,False,,,,46221754171733.0,15b659130b13edb5726bde602f52ebb2,client_details(None),,,25M8UMYY0,True,russel.winfield@example.com,2024-12-17T18:10:52-05:00,GBP,1776.38,current_subtotal_price_set(None),,323.47,current_total_discounts_set(None),,1800.37,current_total_price_set(None),0.00,current_total_tax_set(None),UK,,[discount_code(None)],russel.winfield@example.com,False,paid,,,,,,#1004,,[],4,1004,https://impression-digital-test-store.myshopify.com/92179693909/orders/247abc2b7f09532bf7faa65586b130c3/authenticate?key=d1c7c0761882559cf4bad5a0b920af6f,,,['manual'],+16135550135,,GBP,2024-12-17T18:10:51-05:00,df1a861e8b8912e6951ee9d0d96176dd,,df1a861e8b8912e6951ee9d0d96176dd,shopify_draft_order,,1776.38,subtotal_price_set(None),"Line Item Discount, Order Discount",False,[],True,False,247abc2b7f09532bf7faa65586b130c3,323.47,total_discounts_set(None),2099.85,total_line_items_price_set(None),0.00,1800.37,total_price_set(None),total_shipping_price_set(None),0.00,total_tax_set(None),0.00,13608,2024-12-17T18:10:52-05:00,,billing_address(None),customer(8875746394453),"[discount_application(None), discount_application(None)]",[],"[line_item(16344779325781), line_item(16344779358549)]",,[],shipping_address(None),[shipping_line(5402361987413)]
6436278993237,gid://shopify/Order/6436278993237,1354745,185.205.175.206,False,,,,46221754466645.0,65e0408e8f2d8cf9b6f89fb07327f9e6,client_details(None),,company(58736345429),CFND8FCEM,True,karine.ruby@example.com,2024-12-17T18:10:55-05:00,GBP,2099.85,current_subtotal_price_set(None),,699.95,current_total_discounts_set(None),,2123.84,current_total_price_set(None),0.00,current_total_tax_set(None),en,,[],karine.ruby@example.com,False,paid,,,,,,#1005,,[],5,1005,https://impression-digital-test-store.myshopify.com/92179693909/orders/0902a090b8c062b847d19c4b608343fa/authenticate?key=373f72e56b07e905183a840525f996fd,,,['manual'],+16135550142,,GBP,2024-12-17T18:10:55-05:00,339f325489a8fb12876954ba316aa2b5,,339f325489a8fb12876954ba316aa2b5,shopify_draft_order,,2099.85,subtotal_price_set(None),Line Item Discount,False,[],True,False,0902a090b8c062b847d19c4b608343fa,699.95,total_discounts_set(None),2799.80,total_line_items_price_set(None),0.00,2123.84,total_price_set(None),total_shipping_price_set(None),0.00,total_tax_set(None),0.00,18144,2024-12-17T18:10:56-05:00,,,customer(8875746328917),[discount_application(None)],[],[line_item(16344779424085)],,[],shipping_address(None),[shipping_line(5402362052949)]
6436279026005,gid://shopify/Order/6436279026005,1354745,185.205.175.206,False,,,,46221754761557.0,13c564d215859f041dbac76c89e4f604,client_details(None),,,HED1XIRI1,True,russel.winfield@example.com,2024-12-17T18:10:59-05:00,GBP,1259.91,current_subtotal_price_set(None),,139.99,current_total_discounts_set(None),,1283.90,current_total_price_set(None),0.00,current_total_tax_set(None),UK,,[discount_code(None)],russel.winfield@example.com,False,paid,,,,,,#1006,,[],6,1006,https://impression-digital-test-store.myshopify.com/92179693909/orders/14ffc25926be29532fb2638838759a70/authenticate?key=732e180561b9e0c066a740656cc166b3,,,['manual'],+16135550135,,GBP,2024-12-17T18:10:58-05:00,da9b42406c4c2a2e26b50c7021dd7c8c,,da9b42406c4c2a2e26b50c7021dd7c8c,shopify_draft_order,,1259.91,subtotal_price_set(None),Order Discount,False,[],True,False,14ffc25926be29532fb2638838759a70,139.99,total_discounts_set(None),1399.90,total_line_items_price_set(None),0.00,1283.90,total_price_set(None),total_shipping_price_set(None),0.00,total_tax_set(None),0.00,9072,2024-12-17T18:10:59-05:00,,billing_address(None),customer(8875746394453),[discount_application(None)],[],[line_item(16344779489621)],,[],shipping_address(None),[shipping_line(5402362085717)]
6436279058773,gid://shopify/Order/6436279058773,1354745,185.205.175.206,False,,,,46221755220309.0,224e454f3bfe90baa3fc36c514ff7e6e,client_details(None),,,5Z9NWJDGN,True,russel.winfield@example.com,2024-12-17T18:11:05-05:00,GBP,200.00,current_subtotal_price_set(None),,0.00,current_total_discounts_set(None),,223.99,current_total_price_set(None),0.00,current_total_tax_set(None),UK,,[],russel.winfield@example.com,False,paid,,,,,,#1007,,[],7,1007,https://impression-digital-test-store.myshopify.com/92179693909/orders/38c1aa76861dc2f6b609d64a82e9f56d/authenticate?key=ad2ccb2f5109bb4d39e233228abc6d13,,,['manual'],+16135550135,,GBP,2024-12-17T18:11:04-05:00,e7e97674fb2b55fa11a92cd261bea749,,e7e97674fb2b55fa11a92cd261bea749,shopify_draft_order,,200.00,subtotal_price_set(None),Custom Item,False,[],True,False,38c1aa76861dc2f6b609d64a82e9f56d,0.00,total_discounts_set(None),200.00,total_line_items_price_set(None),0.00,223.99,total_price_set(None),total_shipping_price_set(None),0.00,total_tax_set(None),0.00,0,2024-12-17T18:11:05-05:00,,billing_address(None),customer(8875746394453),[],[],[line_item(16344779522389)],,[],shipping_address(None),[shipping_line(5402362118485)]
6436279091541,gid://shopify/Order/6436279091541,1354745,185.205.175.206,False,,,,46221755580757.0,14409d9d7650fe21ffa3f0a241c301aa,client_details(None),,,0DLG98KH8,True,,2024-12-17T18:11:08-05:00,GBP,885.95,current_subtotal_price_set(None),,0.00,current_total_discounts_set(None),,885.95,current_total_price_set(None),0.00,current_total_tax_set(None),en,,[],,False,paid,,,,103899857237.0,,#1008,,[],8,1008,https://impression-digital-test-store.myshopify.com/92179693909/orders/49f7ffb332142bc710ff55584bce937e/authenticate?key=929f189e98cfa7f427df56c21a6b9988,,,['manual'],,,GBP,2024-12-17T18:11:07-05:00,d7fac744b7b91756f4286dd8929ad927,,d7fac744b7b91756f4286dd8929ad927,shopify_draft_order,,885.95,subtotal_price_set(None),Minimal Info,False,[],True,False,49f7ffb332142bc710ff55584bce937e,0.00,total_discounts_set(None),885.95,total_line_items_price_set(None),0.00,885.95,total_price_set(None),total_shipping_price_set(None),0.00,total_tax_set(None),0.00,0,2024-12-17T18:11:08-05:00,,,,[],[],[line_item(16344779555157)],,[],,[]
6436279189845,gid://shopify/Order/6436279189845,1354745,185.205.175.206,False,,,,46221756367189.0,eac8f5af67223801ef56d38ead9c3d61,client_details(None),,,THTEM0JZE,True,,2024-12-17T18:11:13-05:00,GBP,885.95,current_subtotal_price_set(None),,0.00,current_total_discounts_set(None),,885.95,current_total_price_set(None),0.00,current_total_tax_set(None),en,,[],,False,paid,,,,103899857237.0,,#1009,,[],9,1009,https://impression-digital-test-store.myshopify.com/92179693909/orders/91d0735a3501ff64c571c3efc288ff0e/authenticate?key=53117d76dff38d3c90fc896bd6c2ff66,,,['manual'],,,GBP,2024-12-17T18:11:13-05:00,380e0cbf2546ede6b524afc15793ca8b,,380e0cbf2546ede6b524afc15793ca8b,shopify_draft_order,,885.95,subtotal_price_set(None),Edited,False,[],True,False,91d0735a3501ff64c571c3efc288ff0e,0.00,total_discounts_set(None),885.95,total_line_items_price_set(None),0.00,885.95,total_price_set(None),total_shipping_price_set(None),0.00,total_tax_set(None),0.00,0,2024-12-17T18:11:14-05:00,,,,[],[],[line_item(16344779653461)],,[],,[]
6436279648597,gid://shopify/Order/6436279648597,1354745,185.205.175.206,False,,,,46221754958165.0,9fbd594928bc82680c333132fd10b7e0,client_details(None),,,FQRU5MJEC,True,,2024-12-17T18:11:47-05:00,GBP,2723.28,current_subtotal_price_set(None),,0.00,current_total_discounts_set(None),,2723.28,current_total_price_set(None),0.00,current_total_tax_set(None),en,,[],,False,paid,,,,103899857237.0,,#1010,,[],10,1010,https://impression-digital-test-store.myshopify.com/92179693909/orders/7fe43aa0c8b68ade82db76d1a21b677e/authenticate?key=97487e5f510a435d54512026ef9d8a85,,,['manual'],,,MXN,2024-12-17T18:11:47-05:00,9bb3b0e94f16ae91c491c6d88152b144,,9bb3b0e94f16ae91c491c6d88152b144,shopify_draft_order,,2723.28,subtotal_price_set(None),International Market,False,[],True,False,7fe43aa0c8b68ade82db76d1a21b677e,0.00,total_discounts_set(None),2723.28,total_line_items_price_set(None),0.00,2723.28,total_price_set(None),total_shipping_price_set(None),0.00,total_tax_set(None),0.00,18144,2024-12-17T18:11:48-05:00,116032635221.0,,,[],[],[line_item(16344780636501)],,[],,[]
